距離 STOP_DISTANCE68000
直線速度 sp055
レーンチェンジ速度 lcspeed47
クランク速度 clspeed36
カーブブレーキ速度 cbrksp1 42
カーブ速度 cbspeed40
時間,パターン,角度,左前,右前,左後,右後,速度,左端,左中,中央,右中,右端,坂
4710,21,30,37,100,37,100,40,890,882,890,257,574,789
4720,21,28,40,100,40,100,40,894,910,858,205,662,771
4730,21,29,39,100,39,100,39,877,916,874,215,631,776
4740,21,29,39,100,39,100,40,918,879,876,239,625,790
4750,21,28,40,100,40,100,39,907,923,870,199,658,780
4760,21,29,39,100,39,100,40,916,894,871,214,627,790
4770,21,29,39,100,39,100,40,901,908,891,204,600,770
4780,21,27,41,99,41,99,41,875,903,841,158,663,791
4790,21,28,40,100,40,100,40,914,916,846,198,657,784
4800,21,27,41,99,41,99,40,876,923,876,155,666,788
4810,21,27,41,99,41,99,40,905,888,833,166,693,776
4820,21,28,40,100,40,100,40,890,892,867,209,623,768
4830,21,27,41,99,41,99,40,916,891,830,167,659,776
4840,21,28,40,100,40,100,40,904,904,840,192,642,783
4850,21,28,111,111,111,111,40,892,891,867,176,659,774
4860,21,29,111,111,111,111,40,903,910,857,206,624,776
4870,21,28,40,100,40,100,40,906,911,868,185,645,786
4880,21,28,40,100,40,100,40,919,877,857,191,652,776
4890,21,28,40,100,40,100,39,881,897,872,200,642,778
4900,21,26,42,98,42,98,40,883,912,823,157,683,792
4910,21,27,41,99,41,99,39,884,888,858,171,701,791
4920,21,26,42,98,42,98,40,911,905,820,130,703,788
4930,21,26,42,98,42,98,40,888,892,827,144,732,777
4940,21,27,41,99,41,99,39,909,896,831,172,691,778
4950,21,26,42,98,42,98,39,913,898,869,158,722,783
4960,21,27,41,99,41,99,40,917,901,842,155,670,789
4970,21,28,40,100,40,100,39,910,922,887,186,656,780
4980,21,28,40,100,40,100,39,896,881,844,201,646,768
4990,21,29,39,100,39,100,38,914,898,848,242,610,770
5000,21,28,40,100,40,100,39,902,898,877,210,619,774
5010,21,28,40,100,40,100,39,880,904,845,175,642,786
5020,21,28,40,100,40,100,40,920,913,867,201,662,773
5030,21,28,40,100,40,100,40,910,886,871,199,643,772
5040,21,28,40,100,40,100,39,894,909,878,209,619,786
5050,21,28,40,100,40,100,40,906,912,840,169,668,768
5060,21,27,41,99,41,99,39,887,921,841,170,699,788
5070,21,27,41,99,41,99,39,877,898,854,184,690,790
5080,21,26,42,98,42,98,39,901,905,835,138,730,780
5090,21,25,43,97,43,97,39,917,902,848,119,741,787
5100,21,25,43,97,43,97,40,910,907,838,117,743,785
5110,21,24,44,96,44,96,40,916,915,815,88,767,774
5120,21,25,43,97,43,97,40,905,879,833,128,714,775
5130,21,26,42,98,42,98,41,880,893,834,150,690,787
5140,21,26,42,98,42,98,41,884,878,821,146,721,774
5150,21,26,42,98,42,98,41,895,905,852,158,719,770
5160,21,27,41,99,41,99,41,910,876,864,179,674,769
5170,21,28,40,100,40,100,41,897,910,851,180,637,778
5180,21,27,41,99,41,99,40,883,922,862,160,683,792
5190,21,27,41,99,41,99,41,888,887,850,137,664,779
5200,21,27,41,99,41,99,41,913,913,874,176,679,771
5210,21,27,41,99,41,99,41,896,891,833,142,675,774
5220,21,28,40,100,40,100,41,901,921,859,210,654,788
5230,21,27,41,99,41,99,40,889,920,830,149,688,773
5240,21,27,41,99,41,99,40,883,922,844,156,669,768
5250,21,28,40,100,40,100,40,907,905,871,202,626,770
5260,21,28,40,100,40,100,40,890,878,842,165,637,772
5270,21,28,40,100,40,100,40,907,900,882,211,642,771
5280,21,28,40,100,40,100,40,909,883,888,209,662,782
5290,21,28,40,100,40,100,40,876,916,850,207,659,789
5300,21,28,40,100,40,100,40,917,878,843,204,652,777
5310,21,27,41,99,41,99,40,882,879,879,155,685,786
5320,21,26,42,98,42,98,40,889,888,866,159,700,785
5330,21,25,43,97,43,97,40,914,887,825,120,715,775
5340,21,24,44,96,44,96,40,913,921,794,114,779,792
5350,21,24,44,96,44,96,40,907,898,836,84,768,779
5360,21,23,45,95,45,95,40,896,880,799,111,761,771
5370,21,25,43,97,43,97,40,920,896,810,104,723,782
5380,21,26,42,98,42,98,40,902,878,830,150,710,780
5390,21,27,41,99,41,99,40,901,886,838,179,663,770
5400,21,27,41,99,41,99,40,922,914,836,176,684,771
5410,21,27,41,99,41,99,39,893,880,879,160,661,768
5420,21,28,40,100,40,100,39,920,907,873,166,652,792
5430,21,28,40,100,40,100,40,907,882,879,212,656,779
5440,21,28,40,100,40,100,40,909,875,861,201,642,769
5450,21,29,39,100,39,100,40,916,890,861,207,587,768
5460,21,27,41,99,41,99,40,922,886,853,162,699,783
5470,21,26,42,98,42,98,40,920,884,843,128,722,776
5480,21,28,40,100,40,100,40,891,895,856,198,620,779
5490,21,27,41,99,41,99,40,916,882,870,166,676,785
5500,21,26,42,98,42,98,40,887,880,867,120,689,784
5510,21,25,43,97,43,97,40,912,883,828,98,751,781
5520,21,26,42,98,42,98,40,886,882,856,161,718,771
5530,21,27,41,99,41,99,39,880,875,844,150,700,772
5540,21,27,41,99,41,99,39,917,915,862,162,658,775
5550,21,27,41,99,41,99,39,908,893,856,164,674,786
5560,21,27,41,99,41,99,40,884,909,842,148,670,784
5570,21,27,41,99,41,99,39,910,877,864,147,668,768
5580,21,27,41,99,41,99,39,913,922,874,159,668,775
5590,21,26,42,98,42,98,40,923,902,839,119,720,779
5600,21,25,43,97,43,97,40,908,913,813,105,721,776
5610,21,26,42,98,42,98,40,919,905,851,136,705,778
5620,21,25,43,97,43,97,40,910,896,816,118,711,789
5630,21,25,43,97,43,97,40,880,906,821,122,720,775
5640,21,26,42,98,42,98,40,884,913,834,125,723,787
5650,21,27,41,99,41,99,40,913,877,874,166,673,785
5660,21,26,42,98,42,98,40,875,883,854,112,694,776
5670,21,26,42,98,42,98,40,886,876,823,117,692,783
5680,21,26,42,98,42,98,40,891,895,843,125,685,770
5690,21,26,42,98,42,98,40,878,877,868,119,726,778
5700,21,26,42,98,42,98,40,884,921,847,115,690,790
5710,21,25,43,97,43,97,40,875,890,810,118,713,772
5720,21,26,42,98,42,98,39,915,914,831,117,715,786
5730,21,25,43,97,43,97,39,921,885,849,117,747,784
5740,21,25,43,97,43,97,39,911,876,843,105,724,788
5750,21,25,43,97,43,97,40,884,884,856,144,755,772
5760,21,24,44,96,44,96,39,913,916,828,130,774,777
5770,21,25,43,97,43,97,39,890,913,823,109,726,775
5780,21,26,42,98,42,98,39,918,898,829,118,708,784
5790,21,26,42,98,42,98,39,898,890,823,145,714,781
5800,21,26,42,98,42,98,39,908,886,835,136,718,792
5810,21,26,42,98,42,98,40,913,911,835,115,721,770
5820,21,25,111,111,111,111,40,876,923,852,100,733,787
5830,21,26,111,111,111,111,39,917,907,836,138,690,790
5840,21,27,41,99,41,99,39,877,889,868,143,657,770
5850,21,28,40,100,40,100,39,905,895,850,184,659,790
5860,21,26,42,98,42,98,39,887,923,825,125,719,791
5870,21,26,42,98,42,98,39,922,905,834,136,718,791
5880,21,27,41,99,41,99,40,920,899,873,162,692,768
5890,21,27,41,99,41,99,39,924,882,872,152,661,791
5900,21,27,41,99,41,99,40,907,877,830,148,669,792
5910,21,26,42,98,42,98,40,876,924,831,128,726,779
5920,21,26,42,98,42,98,39,894,889,866,113,716,792
5930,21,27,41,99,41,99,40,912,887,876,176,702,791
5940,21,26,42,98,42,98,39,890,900,835,134,698,775
5950,21,26,42,98,42,98,39,916,892,861,155,726,772
5960,21,27,41,99,41,99,40,918,902,875,176,694,782
5970,21,27,41,99,41,99,40,898,912,871,172,670,770
5980,21,26,42,98,42,98,40,876,914,830,116,686,791
5990,21,27,41,99,41,99,39,907,890,853,155,684,786
6000,21,28,40,100,40,100,39,911,890,882,193,624,786
6010,21,29,39,100,39,100,40,878,897,846,245,595,774
6020,21,28,40,100,40,100,40,922,909,845,210,621,786
6030,21,27,41,99,41,99,40,881,924,839,151,678,791
6040,21,26,42,98,42,98,40,912,915,830,156,732,781
6050,21,26,42,98,42,98,39,878,895,835,162,708,773
6060,21,27,41,99,41,99,39,875,918,860,155,694,773
6070,21,28,40,100,40,100,39,902,912,882,183,665,774
6080,21,28,40,100,40,100,39,917,910,874,175,642,772
6090,21,27,41,99,41,99,39,906,915,851,166,665,776
6100,21,26,42,98,42,98,39,906,877,858,152,727,773
6110,21,26,42,98,42,98,39,887,900,828,142,728,774
6120,21,26,42,98,42,98,40,880,898,849,123,724,781
6130,21,25,43,97,43,97,40,922,897,811,97,750,789
6140,21,25,43,97,43,97,40,883,885,834,114,746,774
6150,21,26,42,98,42,98,40,892,896,835,144,705,772
6160,21,25,43,97,43,97,40,900,884,831,116,758,783
6170,21,25,43,97,43,97,40,900,898,832,119,721,779
6180,21,26,42,98,42,98,40,895,892,840,130,717,780
6190,21,26,42,98,42,98,40,916,902,821,152,706,784
6200,11,24,74,100,74,100,41,895,896,807,109,768,791
6210,11,22,76,100,76,100,41,906,908,776,92,804,775
6220,11,20,78,100,78,100,42,902,894,719,100,852,768
6230,11,18,81,100,81,100,43,897,887,678,137,857,778
6240,11,16,83,100,83,100,44,891,892,614,237,859,779
6250,11,13,86,100,86,100,45,915,900,465,359,875,783
6260,11,12,87,100,87,100,45,876,877,425,397,871,775
6270,11,10,89,100,89,100,45,881,911,381,448,875,785
6280,11,8,92,100,92,100,46,921,876,263,563,914,780
6290,11,8,92,100,92,100,47,910,863,260,541,875,773
6300,11,5,95,100,95,100,47,910,866,155,644,882,787
6310,11,6,94,100,94,100,47,884,848,223,618,893,782
6320,11,6,94,100,94,100,47,924,877,189,611,880,779
6330,11,6,94,100,94,100,48,897,873,226,641,900,786
6340,11,5,95,100,95,100,48,876,866,183,661,880,769
6350,11,5,95,100,95,100,49,882,843,169,670,873,790
6360,11,3,97,100,97,100,49,914,834,136,725,910,781
6370,11,2,98,100,98,100,49,903,849,95,767,884,774
6380,11,3,97,100,97,100,50,915,863,137,712,912,776
6390,11,2,98,100,98,100,51,903,827,135,765,923,783
6400,11,2,98,100,98,100,51,882,838,116,768,903,781
6410,11,1,99,100,99,100,52,904,791,96,790,904,781
6420,11,1,99,100,99,100,52,887,821,110,751,899,791
6430,11,0,100,100,100,100,52,887,805,85,792,899,784
6440,11,0,100,100,100,100,52,915,804,97,809,894,790
6450,11,-1,100,99,100,99,52,912,753,112,787,924,785
6460,11,1,99,100,99,100,53,892,827,121,759,899,782
6470,11,-1,100,99,100,99,53,917,790,79,807,898,790
6480,11,-1,100,99,100,99,52,916,776,125,816,912,788
6490,11,-1,100,99,100,99,52,891,754,124,808,914,776
6500,11,-2,100,98,100,98,52,882,772,102,849,878,780
6510,11,-1,100,99,100,99,52,896,751,123,825,908,791
6520,11,0,100,100,100,100,52,898,793,84,779,900,771
6530,11,0,100,100,100,100,53,883,773,98,791,888,779
6540,11,0,100,100,100,100,52,923,783,92,771,893,771
6550,11,-1,100,99,100,99,53,903,794,97,812,890,768
6560,11,-1,100,99,100,99,53,922,768,96,823,921,790
6570,11,0,100,100,100,100,53,906,793,118,800,892,787
6580,11,0,100,100,100,100,53,910,802,104,787,885,770
6590,11,0,100,100,100,100,53,880,808,108,800,921,774
6600,11,0,100,100,100,100,53,874,769,96,815,890,786
6610,11,0,100,100,100,100,53,892,802,101,775,903,773
6620,11,-1,100,99,100,99,54,885,752,107,821,922,789
6630,11,-1,100,99,100,99,54,909,749,119,833,880,791
6640,11,-1,100,99,100,99,55,896,789,79,786,877,781
6650,11,0,100,100,100,100,55,882,803,102,784,919,776
6660,11,-1,100,99,100,99,55,882,751,117,790,890,786
6670,11,-1,100,99,100,99,55,895,773,78,787,895,775
6680,11,-2,100,98,100,98,55,919,740,126,842,904,781
6690,11,-1,100,99,100,99,55,885,779,119,807,899,769
6700,11,-2,100,98,100,98,55,877,727,104,804,907,781
6710,11,-2,100,98,100,98,56,913,745,121,808,896,771
6720,11,-2,100,98,100,98,56,882,725,93,842,907,773
6730,11,-1,100,99,100,99,56,888,748,80,810,912,774
6740,11,-2,100,98,100,98,56,907,744,120,804,920,768
6750,11,-1,100,99,100,99,56,879,766,104,799,893,775
6760,11,-1,100,99,100,99,56,885,766,112,806,882,770
6770,11,-1,100,99,100,99,55,887,777,97,818,887,771
6780,11,-1,100,99,100,99,55,915,760,124,825,898,772
6790,11,-1,100,99,100,99,55,907,747,87,833,910,790
6800,11,-2,100,98,100,98,55,914,734,98,847,888,773
6810,11,-2,100,98,100,98,55,910,736,136,822,875,770
6820,11,-2,100,98,100,98,55,886,768,120,813,880,780
6830,11,-3,100,97,100,97,55,881,740,107,829,904,791
6840,11,-1,100,99,100,99,55,904,794,110,832,903,774
6850,11,-2,100,98,100,98,55,910,729,105,828,924,787
6860,11,-2,100,98,100,98,55,899,743,120,809,901,776
6870,11,-1,100,99,100,99,55,896,764,101,819,918,785
6880,11,-2,100,98,100,98,54,894,758,128,824,911,774
6890,11,0,100,100,100,100,55,910,789,79,784,907,775
6900,11,-1,100,99,100,99,55,911,758,96,785,902,778
6910,11,-2,100,98,100,98,55,922,749,121,848,915,775
6920,11,-1,100,99,100,99,55,910,783,87,789,884,783
6930,11,-2,100,98,100,98,54,891,743,135,814,882,772
6940,11,-3,100,97,100,97,55,882,710,149,856,891,773
6950,11,-3,100,97,100,97,55,883,735,121,819,920,782
6960,11,-1,100,99,100,99,55,924,795,97,794,913,791
6970,11,0,100,100,100,100,55,891,800,106,776,875,789
6980,11,-1,100,99,100,99,55,879,781,120,796,898,792
6990,11,-1,100,99,100,99,55,876,762,110,814,900,771
7000,11,-1,100,99,100,99,55,924,791,78,796,891,780
7010,11,0,100,100,100,100,55,886,796,93,768,914,777
7020,11,0,100,100,100,100,55,898,816,77,785,886,787
7030,11,1,99,100,99,100,54,898,832,86,793,923,792
7040,11,0,100,100,100,100,55,924,771,98,777,874,770
7050,11,0,100,100,100,100,55,874,787,97,812,892,779
7060,11,-1,100,99,100,99,55,900,770,96,827,885,780
7070,11,-1,100,99,100,99,55,905,774,92,788,922,779
7080,11,-2,100,98,100,98,56,923,755,94,834,880,773
7090,11,0,100,100,100,100,55,892,786,83,799,907,782
7100,11,-1,100,99,100,99,55,883,781,86,830,915,769
7110,11,-1,100,99,100,99,55,922,780,111,809,898,774
7120,11,-2,100,98,100,98,55,883,732,128,825,909,792
7130,11,-2,100,98,100,98,55,890,750,94,824,905,772
7140,11,-2,100,98,100,98,54,884,771,126,847,916,789
7150,11,-1,100,99,100,99,54,902,783,96,807,923,769
7160,11,-2,100,98,100,98,55,905,724,134,848,911,776
7170,11,-3,100,97,100,97,55,919,744,104,844,886,770
7180,11,-2,100,98,100,98,55,901,766,97,845,891,768
7190,11,-2,100,98,100,98,55,919,724,123,802,909,789
7200,11,-1,100,99,100,99,55,919,789,127,806,914,776
7210,11,-2,100,98,100,98,55,877,737,102,847,907,783
7220,11,-1,100,99,100,99,55,881,781,101,824,897,774
7230,11,-1,100,99,100,99,55,888,793,103,791,890,769
7240,11,-2,100,98,100,98,55,922,741,113,825,876,792
7250,11,-1,100,99,100,99,55,910,766,86,809,920,780
7260,11,0,100,100,100,100,55,895,775,123,777,922,788
7270,11,-1,100,99,100,99,55,915,750,91,816,898,780
7280,11,0,100,100,100,100,55,890,807,118,781,914,772
7290,11,1,99,100,99,100,55,906,790,117,760,917,789
7300,11,0,100,100,100,100,55,916,802,96,809,882,773
7310,11,0,100,100,100,100,55,885,810,94,774,883,786
7320,11,-1,100,99,100,99,55,903,755,110,809,879,774
7330,11,0,100,100,100,100,55,907,771,96,809,924,788
7340,11,-1,100,99,100,99,56,903,778,96,808,878,788
7350,11,-1,100,99,100,99,55,887,786,118,787,903,769
7360,11,-2,100,98,100,98,55,887,764,100,809,874,782
7370,11,-2,100,98,100,98,55,918,743,125,843,880,791
7380,11,-1,100,99,100,99,54,913,795,88,786,912,781
7390,11,-1,100,99,100,99,54,885,767,109,825,912,789
7400,11,0,100,100,100,100,54,916,790,83,787,919,781
7410,11,-1,100,99,100,99,54,885,793,123,834,900,771
7420,11,-2,100,98,100,98,54,918,771,88,831,906,774
7430,11,-2,100,98,100,98,54,889,758,123,810,907,789
7440,11,-2,100,98,100,98,53,893,758,113,811,878,769
7450,11,-3,100,97,100,97,54,913,712,130,854,880,791
7460,11,-1,100,99,100,99,54,889,785,123,819,905,788
7470,11,-1,100,99,100,99,54,880,772,93,833,893,781
7480,11,-1,100,99,100,99,54,884,770,113,803,900,785
7490,11,-2,100,98,100,98,54,876,745,131,810,896,792
7500,11,-2,100,98,100,98,54,904,731,94,813,916,771
7510,11,-2,100,98,100,98,55,876,745,133,815,904,790
7520,11,-3,100,97,100,97,55,914,717,128,854,915,779
7530,11,-3,100,97,100,97,54,875,704,114,817,879,774
7540,11,-3,100,97,100,97,55,888,745,124,843,890,769
7550,11,-2,100,98,100,98,55,901,755,102,803,880,781
7560,11,-1,100,99,100,99,54,903,782,92,809,884,781
7570,11,-1,100,99,100,99,54,890,773,110,810,879,784
7580,11,-2,100,98,100,98,54,880,748,112,836,893,781
7590,11,-1,100,99,100,99,54,904,776,90,806,898,787
7600,11,-2,100,98,100,98,55,901,729,128,801,887,790
7610,11,-2,100,98,100,98,54,905,732,110,835,879,789
7620,11,-3,100,97,100,97,55,906,723,123,858,922,780
7630,11,-3,100,97,100,97,55,892,731,139,846,895,786
7640,11,-3,100,97,100,97,55,893,703,128,830,902,769
7650,11,-3,100,97,100,97,55,911,732,149,855,918,776
7660,11,-3,100,97,100,97,55,890,726,152,858,884,785
7670,11,-3,100,97,100,97,55,882,725,113,830,880,772
7680,11,-3,100,97,100,97,55,923,737,151,828,879,774
7690,11,-4,100,96,100,96,55,895,687,124,868,893,768
7700,11,-2,100,98,100,98,55,894,734,117,823,895,789
7710,11,-2,100,98,100,98,55,888,771,106,849,919,771
7720,11,-2,100,98,100,98,55,905,752,131,824,882,780
7730,11,-2,100,98,100,98,55,887,742,97,835,903,792
7740,11,-2,100,98,100,98,55,896,732,102,834,877,784
7750,11,-3,100,97,100,97,55,890,732,149,845,908,781
7760,11,-2,100,98,100,98,55,897,760,103,805,905,771
7770,11,-2,100,98,100,98,55,919,729,94,824,891,778
7780,11,-2,100,98,100,98,55,914,754,96,848,883,770
7790,11,-2,100,98,100,98,55,918,760,112,804,886,772
7800,11,-2,100,98,100,98,55,886,738,112,820,907,784
7810,11,-3,100,97,100,97,55,913,718,114,863,876,769
7820,11,-2,100,98,100,98,55,898,747,106,805,893,778
7830,11,-2,100,98,100,98,54,887,753,90,827,893,783
7840,11,-1,100,99,100,99,54,899,767,103,785,911,783
7850,11,0,100,100,100,100,55,912,769,118,799,888,768
7860,11,1,99,100,99,100,55,887,813,97,760,912,787
7870,11,0,100,100,100,100,54,886,808,94,811,914,789
7880,11,0,100,100,100,100,54,902,803,123,797,898,788
7890,11,-1,100,99,100,99,54,889,779,85,820,909,792
7900,11,-2,100,98,100,98,55,906,762,99,819,886,790
7910,11,0,100,100,100,100,55,913,797,82,806,915,771
7920,11,0,100,100,100,100,55,894,784,115,775,902,792
7930,11,-1,100,99,100,99,55,901,785,80,790,916,768
7940,11,0,100,100,100,100,54,921,769,91,774,881,777
7950,11,-1,100,99,100,99,55,918,788,101,822,899,771
7960,11,0,100,100,100,100,54,915,778,75,810,916,771
7970,11,-1,100,99,100,99,55,896,772,118,833,923,772
7980,11,-1,100,99,100,99,55,908,780,120,813,888,776
7990,11,-2,100,98,100,98,55,905,741,95,835,875,771
8000,51,-2,72,68,72,68,54,874,739,124,846,908,785
8010,51,-3,73,67,73,67,54,891,740,111,817,912,770
8020,51,-3,73,67,73,67,54,880,719,105,860,906,771
8030,51,-2,72,68,72,68,53,886,762,123,839,901,790
8040,51,-1,71,69,71,69,53,877,767,92,790,896,782
8050,51,0,70,70,70,70,52,906,790,93,812,921,782
8060,51,1,69,71,69,71,52,896,809,97,757,909,788
8070,51,1,69,71,69,71,51,924,808,97,788,919,780
8080,51,2,68,72,68,72,51,911,804,107,730,894,772
8090,51,2,68,72,68,72,50,898,845,132,769,898,787
8100,51,3,67,73,67,73,50,906,857,123,746,875,785
8110,51,4,66,74,66,74,50,916,835,161,691,894,774
8120,51,4,66,74,66,74,50,879,856,173,683,884,779
8130,51,6,64,76,64,76,50,922,874,199,607,876,784
8140,51,7,63,77,63,77,49,912,896,248,593,903,775
8150,51,7,63,77,63,77,50,902,870,228,581,897,782
8160,51,7,63,77,63,77,49,900,882,256,568,887,770
8170,51,7,63,77,63,77,49,913,871,242,591,874,770
8180,51,7,63,77,63,77,49,879,856,242,602,890,772
8190,51,8,62,78,62,78,49,886,856,278,528,908,788
8200,51,8,62,78,62,78,49,924,868,277,534,909,790
8210,51,9,61,79,61,79,49,881,894,334,523,873,777
8220,51,10,59,81,59,81,49,901,894,341,460,880,778
8230,51,10,59,81,59,81,49,918,901,372,458,880,790
8240,51,10,59,81,59,81,48,906,890,359,461,903,780
8250,51,11,58,82,58,82,48,903,903,408,435,898,788
8260,51,11,58,82,58,82,48,914,893,416,425,868,792
8270,51,11,58,82,58,82,48,913,900,393,434,873,792
8280,51,12,57,83,57,83,48,908,878,448,387,900,774
8290,51,12,57,83,57,83,48,876,882,467,367,871,781
8300,51,12,57,83,57,83,49,912,875,426,370,889,776
8310,51,12,57,83,57,83,49,919,905,456,403,881,789
8320,51,14,55,85,55,85,49,875,887,522,283,878,778
8330,51,15,54,86,54,86,48,890,872,591,248,862,771
8340,51,15,54,86,54,86,48,900,893,550,280,877,779
8350,51,16,53,87,53,87,48,911,889,629,237,874,783
8360,51,17,52,88,52,88,48,887,886,654,176,851,775
8370,51,17,52,88,52,88,48,886,900,661,182,863,789
8380,51,18,51,89,51,89,47,886,899,676,138,847,770
8390,51,17,52,88,52,88,47,882,899,628,204,843,787
8400,51,17,52,88,52,88,47,890,902,636,169,862,780
8410,51,17,52,88,52,88,46,875,897,644,175,863,771
8420,51,17,52,88,52,88,47,923,884,657,181,846,774
8430,51,18,51,89,51,89,47,890,908,673,174,832,788
8440,51,19,50,90,50,90,47,898,914,697,140,820,783
8450,51,18,51,89,51,89,46,892,902,661,172,833,789
8460,51,18,51,89,51,89,46,911,904,653,182,852,787
8470,51,18,51,89,51,89,46,920,894,680,162,843,782
8480,51,18,51,89,51,89,47,885,881,697,169,859,772
8490,51,18,51,89,51,89,47,919,895,687,161,879,783
8500,51,19,50,90,50,90,47,911,876,717,137,844,772
8510,51,18,51,89,51,89,48,918,898,699,150,834,771
8520,51,19,50,90,50,90,47,903,918,708,138,869,774
8530,51,17,52,88,52,88,47,886,884,621,174,843,783
8540,51,18,51,89,51,89,47,909,910,690,151,866,774
8550,51,19,50,90,50,90,47,898,897,684,140,830,778
8560,51,17,52,88,52,88,47,885,878,655,202,871,792
8570,51,18,51,89,51,89,48,882,907,654,149,830,786
8580,51,18,51,89,51,89,48,881,895,673,158,858,779
8590,51,16,53,87,53,87,48,888,887,614,220,862,771
8600,51,16,53,87,53,87,48,904,891,595,198,889,790
8610,51,16,53,87,53,87,47,891,875,628,239,858,776
8620,51,17,52,88,52,88,48,920,895,625,174,879,779
8630,51,17,52,88,52,88,47,924,909,642,172,841,791
8640,51,17,52,88,52,88,47,897,902,658,211,877,772
8650,51,17,52,88,52,88,47,896,885,666,201,844,775
8660,51,16,53,87,53,87,47,919,877,614,240,882,784
8670,51,16,53,87,53,87,46,922,889,614,203,866,787
8680,51,16,53,87,53,87,46,917,895,600,208,889,785
8690,51,16,53,87,53,87,46,900,885,613,211,885,772
8700,51,16,53,87,53,87,46,885,903,613,220,889,791
8710,51,15,54,86,54,86,46,912,892,569,254,890,769
8720,51,16,53,87,53,87,46,887,921,610,232,865,776
8730,51,14,111,111,111,111,46,920,920,547,299,886,772
8740,51,13,111,111,111,111,46,909,896,464,350,882,770
8750,51,12,57,83,57,83,47,880,882,447,387,913,776
8760,51,12,57,83,57,83,47,909,870,459,385,897,786
8770,51,11,58,82,58,82,46,887,891,420,429,888,775
8780,51,10,59,81,59,81,46,915,885,378,458,918,792
8790,51,10,59,81,59,81,46,892,907,350,448,878,787
8800,51,10,59,81,59,81,46,889,876,340,492,870,787
8810,51,10,59,81,59,81,46,907,879,349,474,911,789
8820,51,9,61,79,61,79,46,903,903,321,487,888,784
8830,51,8,62,78,62,78,46,911,899,277,528,912,768
8840,51,9,61,79,61,79,47,876,862,303,500,911,790
8850,51,8,62,78,62,78,47,882,899,286,553,886,773
8860,51,6,64,76,64,76,47,895,849,200,629,900,780
8870,51,7,63,77,63,77,47,901,879,238,602,877,792
8880,51,7,63,77,63,77,47,903,855,228,570,916,778
8890,51,5,65,75,65,75,47,879,843,197,657,920,776
8900,51,3,67,73,67,73,47,912,848,121,714,881,782
8910,51,4,66,74,66,74,47,891,841,149,705,918,779
8920,51,3,67,73,67,73,47,909,831,130,726,896,772
8930,51,3,67,73,67,73,47,890,817,112,745,876,784
8940,51,4,66,74,66,74,47,883,870,150,674,886,789
8950,51,3,67,73,67,73,47,906,854,137,743,876,768
8960,51,3,67,73,67,73,47,921,832,146,704,916,792
8970,51,2,68,72,68,72,47,898,814,135,762,908,777
8980,51,2,68,72,68,72,47,921,802,109,729,905,772
8990,51,2,68,72,68,72,47,901,848,87,767,910,783
9000,51,1,69,71,69,71,47,875,808,119,766,902,768
9010,51,-1,71,69,71,69,48,880,749,106,800,887,782
9020,51,-2,72,68,72,68,48,901,765,134,829,901,785
9030,51,-2,72,68,72,68,47,922,759,128,804,881,779
9040,51,-2,72,68,72,68,48,920,756,97,812,886,778
9050,51,-4,74,66,74,66,47,876,694,139,858,902,787
9060,51,-4,74,66,74,66,47,902,699,132,847,917,780
9070,51,-5,75,65,75,65,47,904,645,193,878,917,783
9080,51,-6,76,64,76,64,47,891,632,211,859,904,779
9090,51,-6,76,64,76,64,47,920,646,197,878,915,772
9100,51,-6,76,64,76,64,47,902,643,184,869,911,775
9110,51,-7,77,63,77,63,47,890,615,242,897,887,768
9120,51,-8,78,62,78,62,47,906,558,257,882,910,780
9130,51,-9,79,61,79,61,47,911,486,314,906,887,779
9140,51,-11,82,58,82,58,47,894,427,401,895,891,785
9150,51,-11,82,58,82,58,47,873,404,428,905,897,775
9160,51,-11,82,58,82,58,47,893,414,404,914,911,789
9170,51,-12,83,57,83,57,48,895,386,463,871,923,785
9180,51,-12,83,57,83,57,48,871,403,444,876,895,786
9190,51,-13,84,56,84,56,47,895,356,491,875,897,786
9200,51,-12,83,57,83,57,48,872,357,459,897,893,768
9210,51,-13,84,56,84,56,47,873,320,487,916,906,775
9220,51,-14,85,55,85,55,47,879,322,522,886,898,773
9230,51,-15,86,54,86,54,47,860,253,568,898,908,771
9240,51,-14,85,55,85,55,47,862,310,539,889,881,787
9250,51,-15,86,54,86,54,47,900,253,552,915,899,782
9260,51,-16,87,53,87,53,47,876,242,592,891,904,791
9270,51,-16,87,53,87,53,47,887,240,609,897,901,772
9280,51,-17,88,52,88,52,46,888,168,634,897,912,788
9290,51,-16,87,53,87,53,47,869,218,613,898,884,784
9300,51,-17,88,52,88,52,47,876,182,635,883,907,774
9310,51,-18,89,51,89,51,47,869,136,665,889,919,784
9320,51,-17,88,52,88,52,47,839,200,667,874,923,784
9330,51,-17,88,52,88,52,47,856,207,620,905,906,782
9340,51,-18,89,51,89,51,47,871,170,684,889,888,785
9350,51,-19,90,50,90,50,47,864,113,721,877,897,768
9360,51,-18,89,51,89,51,47,869,160,694,878,919,776
9370,51,-19,90,50,90,50,46,861,154,708,885,917,771
9380,51,-18,89,51,89,51,47,864,162,687,922,903,773
9390,51,-18,89,51,89,51,47,876,184,656,911,886,778
9400,51,-18,89,51,89,51,48,873,153,685,898,916,774
9410,51,-18,89,51,89,51,48,868,153,673,910,910,775
9420,51,-17,88,52,88,52,48,875,193,639,901,878,771
